ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
145,1,1,246,1298,1052
146,1,0,19,0,-19
147,0,0,130,0,-130
148,1,0,96,0,-96
149,0,0,95,0,-95
150,0,0,10,0,-10
151,1,0,123,0,-123
152,0,0,67,0,-67
153,1,0,50,0,-50
154,0,0,24,0,-24
155,1,0,104,0,-104
156,0,0,123,0,-123
157,1,0,55,0,-55
158,1,1,104,1536,1432
159,0,0,31,0,-31
160,0,0,30,0,-30
161,1,0,144,0,-144
162,1,1,379,1450,1071
163,1,0,42,0,-42
164,0,0,6,0,-6
165,0,0,72,0,-72
166,1,0,6,0,-6
167,0,0,32,0,-32
168,0,0,138,0,-138
169,1,1,394,1309,915
170,1,1,56,2009,1953
171,0,0,14,0,-14
172,1,0,47,0,-47
173,1,0,5,0,-5
174,1,1,177,1323,1146
175,1,0,140,0,-140
176,0,0,34,0,-34
177,1,0,307,0,-307
178,1,0,0,0,0
179,1,1,445,1279,834
180,0,0,74,0,-74
181,0,0,46,0,-46
182,1,1,99,1326,1227
183,1,0,86,0,-86
184,0,0,19,0,-19
185,0,0,251,0,-251
186,1,0,125,0,-125
187,0,0,196,0,-196
188,0,0,4,0,-4
189,1,0,84,0,-84
190,0,0,84,0,-84
191,1,1,3563,1241,-2322
192,1,1,283,1403,1120
193,1,0,37,0,-37
194,1,1,21,1525,1504
195,0,0,43,0,-43
196,0,0,10,0,-10
197,1,0,50,0,-50
198,1,1,262,1261,999
199,0,0,2,0,-2
200,1,1,114,1336,1222
201,0,0,5,0,-5
202,0,0,49,0,-49
203,1,0,29,0,-29
204,0,0,16,0,-16
205,1,1,412,1291,879
206,1,0,15,0,-15
207,1,0,54,0,-54
208,1,1,35,1531,1496
209,1,1,559,1975,1416
210,0,0,29,0,-29
211,0,0,13,0,-13
212,0,0,62,0,-62
213,1,0,9,0,-9
214,1,1,150,1573,1423
215,1,0,24,0,-24
216,1,0,96,0,-96
217,0,0,103,0,-103
218,1,1,110,1495,1385
219,0,0,111,0,-111
220,1,1,116,1463,1347
221,1,1,333,3288,2955
222,0,0,56,0,-56
223,0,0,182,0,-182
224,1,0,7,0,-7
225,0,0,12,0,-12
226,1,0,1,0,-1
227,1,0,23,0,-23
228,1,1,1187,1496,309
229,1,0,39,0,-39
230,0,0,6,0,-6
231,0,0,77,0,-77
232,1,1,755,1468,713
233,0,0,39,0,-39
234,1,1,239,1831,1592
235,1,1,271,1399,1128
236,0,0,36,0,-36
237,1,0,24,0,-24
238,1,1,571,2985,2414
239,0,0,46,0,-46
240,1,1,75,1286,1211
241,1,1,212,1369,1157
242,0,0,15,0,-15
243,0,0,115,0,-115
244,1,1,1350,1760,410
245,1,1,686,1553,867
246,1,0,9,0,-9
247,1,1,249,1344,1095
248,1,1,305,2323,2018
249,1,0,45,0,-45
250,1,1,862,1298,436
251,1,1,1183,1318,135
252,1,0,167,0,-167
253,0,0,4,0,-4
254,1,1,565,1305,740
255,1,0,6,0,-6
256,1,0,98,0,-98
257,1,0,107,0,-107
258,0,0,154,0,-154
259,1,0,74,0,-74
260,0,0,281,0,-281
261,1,1,327,1516,1189
262,1,0,12,0,-12
263,1,0,59,0,-59
264,1,1,193,1520,1327
265,0,0,19,0,-19
266,0,0,45,0,-45
267,1,1,603,1518,915
268,0,0,81,0,-81
269,1,0,0,0,0
270,1,1,520,1391,871
271,1,1,1646,1299,-347
272,1,1,182,1328,1146
273,0,0,12,0,-12
274,1,1,132,1674,1542
275,1,0,23,0,-23
276,0,0,38,0,-38
277,1,0,4,0,-4
278,1,1,532,1273,741
279,0,0,12,0,-12
280,0,0,210,0,-210
281,1,1,464,2091,1627
282,1,0,20,0,-20
283,0,0,7,0,-7
284,0,0,7,0,-7
285,1,0,42,0,-42
286,1,1,127,1393,1266
287,1,0,1,0,-1
288,1,1,465,1508,1043
289,1,0,23,0,-23
290,1,1,1478,1409,-69
291,1,0,6,0,-6
292,1,0,6,0,-6
293,1,0,18,0,-18
294,0,0,34,0,-34
295,0,0,51,0,-51
296,1,1,1695,1944,249
297,0,0,104,0,-104
298,1,0,33,0,-33
299,1,0,30,0,-30
300,0,0,56,0,-56
301,1,1,12,1254,1242
302,1,0,29,0,-29
303,0,0,18,0,-18
304,1,1,834,1253,419
305,1,1,533,1847,1314
306,0,0,198,0,-198
307,1,1,917,1313,396
308,0,0,72,0,-72
309,0,0,78,0,-78
310,1,0,6,0,-6
311,0,0,13,0,-13
312,0,0,50,0,-50
313,1,1,2361,1286,-1075
314,0,0,12,0,-12
315,0,0,35,0,-35
316,0,0,4,0,-4
317,1,1,1071,8114,7043
318,1,0,3,0,-3
319,1,1,2545,2217,-328
320,1,1,95,1629,1534
321,0,0,32,0,-32
322,1,0,26,0,-26
323,0,0,59,0,-59
324,1,0,7,0,-7
325,0,0,18,0,-18
326,1,0,53,0,-53
327,1,1,154,2342,2188
328,0,0,32,0,-32
329,0,0,32,0,-32
330,1,1,535,1848,1313
331,0,0,49,0,-49
332,1,1,296,1882,1586
333,1,1,37,2434,2397
334,1,0,20,0,-20
335,0,0,29,0,-29
336,1,0,45,0,-45
337,1,1,343,1322,979
338,1,1,313,1319,1006
339,1,0,54,0,-54
340,0,0,13,0,-13
341,0,0,35,0,-35
342,1,0,15,0,-15
343,1,1,237,1325,1088
344,1,1,752,1397,645
345,1,0,12,0,-12
346,0,0,29,0,-29
347,1,0,4,0,-4
348,1,1,39,2101,2062
349,1,0,28,0,-28
350,1,1,139,1415,1276
351,1,0,91,0,-91
352,1,1,443,2510,2067
353,1,0,62,0,-62
354,1,1,200,1737,1537
355,1,1,152,1481,1329
356,0,0,9,0,-9
357,1,1,188,2666,2478
358,1,1,266,1547,1281
359,1,0,34,0,-34
360,0,0,137,0,-137
361,1,1,1168,1381,213
362,1,1,128,2803,2675
363,1,0,8,0,-8
364,0,0,7,0,-7
365,0,0,27,0,-27
366,0,0,48,0,-48
367,0,0,12,0,-12
368,0,0,11,0,-11
369,1,0,87,0,-87
370,0,0,36,0,-36
371,0,0,20,0,-20
372,1,1,47,1430,1383
373,0,0,74,0,-74
374,1,1,91,1558,1467
375,0,0,40,0,-40
376,0,0,16,0,-16
377,1,1,237,1656,1419
378,0,0,44,0,-44
379,0,0,42,0,-42
380,1,1,711,1493,782
381,0,0,28,0,-28
382,1,0,167,0,-167
383,1,1,320,1951,1631
384,0,0,72,0,-72
385,0,0,16,0,-16
386,0,0,11,0,-11
387,0,0,19,0,-19
388,1,0,186,0,-186
389,1,0,59,0,-59
390,0,0,70,0,-70
391,1,1,215,1366,1151
392,1,0,20,0,-20
393,1,1,416,2294,1878
394,1,1,1684,1387,-297
395,0,0,11,0,-11
396,0,0,47,0,-47
397,0,0,63,0,-63
398,1,0,62,0,-62
399,0,0,30,0,-30
400,1,1,390,1394,1004
401,1,1,156,1728,1572
402,1,1,88,1425,1337
403,0,0,3,0,-3
404,1,0,45,0,-45
405,0,0,12,0,-12
406,1,1,54,1244,1190
407,1,1,684,1239,555
408,0,0,131,0,-131
409,0,0,24,0,-24
410,1,1,93,1287,1194
411,1,0,200,0,-200
412,0,0,38,0,-38
413,1,1,543,1543,1000
414,1,0,21,0,-21
415,1,0,41,0,-41
416,0,0,73,0,-73
417,1,1,299,1894,1595
418,1,1,50,1931,1881
419,0,0,33,0,-33
420,1,1,214,1495,1281
421,1,1,834,1352,518
422,0,0,83,0,-83
423,1,0,61,0,-61
424,0,0,14,0,-14
425,0,0,78,0,-78
426,0,0,90,0,-90
427,1,1,609,1452,843
428,0,0,29,0,-29
429,1,1,228,2073,1845
430,1,1,840,1268,428
431,0,0,65,0,-65
432,1,1,108,1906,1798
433,1,0,95,0,-95
434,0,0,58,0,-58
435,1,0,40,0,-40
436,1,1,225,1717,1492
437,0,0,4,0,-4
438,1,0,39,0,-39
439,1,0,38,0,-38
440,1,0,19,0,-19
441,1,1,285,2499,2214
442,1,0,104,0,-104
443,0,0,1,0,-1
444,0,0,132,0,-132
445,0,0,65,0,-65
446,0,0,45,0,-45
447,1,1,244,1379,1135
448,1,1,132,1624,1492
449,1,0,108,0,-108
450,1,0,68,0,-68
451,1,1,524,1533,1009
452,0,0,96,0,-96
453,1,1,166,1330,1164
454,1,1,618,1317,699
455,0,0,11,0,-11
456,0,0,41,0,-41
457,1,0,38,0,-38
458,1,0,33,0,-33
459,0,0,10,0,-10
460,1,0,48,0,-48
461,1,0,137,0,-137
462,1,0,81,0,-81
463,1,0,57,0,-57
464,0,0,71,0,-71
465,1,1,33,3833,3800
466,1,0,52,0,-52
467,0,0,41,0,-41
468,0,0,30,0,-30
469,0,0,10,0,-10
470,1,1,724,1573,849
471,1,1,155,2465,2310
472,1,1,736,1256,520
473,1,1,185,1373,1188
474,1,0,4,0,-4
475,0,0,90,0,-90
476,1,0,111,0,-111
477,0,0,145,0,-145
478,0,0,19,0,-19
479,0,0,74,0,-74
480,0,0,89,0,-89
481,1,0,24,0,-24
482,0,0,87,0,-87
483,1,0,20,0,-20
484,1,0,51,0,-51
485,0,0,2,0,-2
486,1,0,10,0,-10
487,0,0,0,0,0
488,0,0,134,0,-134
489,1,0,36,0,-36
490,1,1,340,1237,897
491,1,0,190,0,-190
492,1,0,71,0,-71
493,1,1,515,1263,748
494,1,0,14,0,-14
495,1,0,72,0,-72
496,0,0,76,0,-76
497,1,1,53,1290,1237
498,0,0,6,0,-6
499,1,0,62,0,-62
500,0,0,62,0,-62
501,0,0,142,0,-142
502,0,0,25,0,-25
503,0,0,5,0,-5
504,0,0,25,0,-25
505,1,0,79,0,-79
506,0,0,1,0,-1
507,1,1,216,1309,1093
508,0,0,34,0,-34
509,1,0,33,0,-33
510,0,0,182,0,-182
511,0,0,54,0,-54
512,1,0,30,0,-30
513,1,0,14,0,-14
514,0,0,65,0,-65
515,1,1,960,5798,4838
516,0,0,96,0,-96
517,1,1,1810,1497,-313
518,0,0,0,0,0
519,0,0,67,0,-67
520,0,0,112,0,-112
521,0,0,192,0,-192
522,1,0,48,0,-48
523,0,0,37,0,-37
524,1,1,359,1346,987
525,0,0,6,0,-6
526,0,0,7,0,-7
527,1,1,1087,2023,936
528,1,0,8,0,-8
529,1,0,40,0,-40
530,1,1,1179,1924,745
531,1,0,62,0,-62
532,1,0,32,0,-32
533,1,1,41,1305,1264
534,1,0,10,0,-10
535,0,0,97,0,-97
536,0,0,64,0,-64
537,1,1,202,1986,1784
538,1,0,42,0,-42
539,0,0,22,0,-22
540,0,0,132,0,-132
541,1,0,81,0,-81
542,0,0,44,0,-44
543,0,0,34,0,-34
544,1,0,14,0,-14
545,1,1,1187,1265,78
546,1,1,123,1428,1305
547,1,0,53,0,-53
548,1,0,39,0,-39
549,0,0,16,0,-16
550,0,0,4,0,-4
551,1,1,436,1276,840
552,0,0,87,0,-87
553,1,1,552,1283,731
554,1,1,558,1326,768
555,1,1,91,2198,2107
556,1,0,21,0,-21
557,0,0,14,0,-14
558,0,0,25,0,-25
559,1,1,330,1471,1141
560,1,1,471,1431,960
561,0,0,84,0,-84
562,1,1,419,1433,1014
563,1,1,847,2130,1283
564,0,0,340,0,-340
565,0,0,47,0,-47
566,1,0,1,0,-1
567,1,0,28,0,-28
568,1,0,59,0,-59
569,1,1,250,1441,1191
570,0,0,124,0,-124
571,1,1,772,1297,525
572,0,0,76,0,-76
573,1,1,1207,1296,89
574,0,0,20,0,-20
575,0,0,80,0,-80
576,0,0,123,0,-123
577,0,0,2,0,-2
578,1,1,25,1552,1527
579,0,0,10,0,-10
580,1,1,854,1440,586
581,0,0,42,0,-42
582,1,1,124,1526,1402
583,1,0,19,0,-19
584,1,0,17,0,-17
585,0,0,2,0,-2
586,1,1,354,4263,3909
587,0,0,6,0,-6
588,1,1,9,2334,2325
589,0,0,83,0,-83
590,0,0,27,0,-27
591,0,0,28,0,-28
592,0,0,58,0,-58
593,1,1,356,1571,1215
594,1,1,319,1298,979
595,0,0,7,0,-7
596,0,0,206,0,-206
597,0,0,17,0,-17
598,1,1,436,1845,1409
599,0,0,5,0,-5
600,1,0,47,0,-47
601,0,0,196,0,-196
602,0,0,1,0,-1
603,1,0,1,0,-1
604,0,0,18,0,-18
605,1,0,108,0,-108
606,1,0,55,0,-55
607,1,0,81,0,-81
608,1,1,142,1402,1260
609,1,1,512,1235,723
610,1,1,171,1793,1622
611,0,0,0,0,0
612,0,0,33,0,-33
613,1,0,51,0,-51
614,1,0,44,0,-44
615,1,1,400,1386,986
616,0,0,13,0,-13
617,1,0,92,0,-92
618,1,0,91,0,-91
619,1,1,748,1426,678
620,1,1,426,1256,830
621,1,1,233,1345,1112
622,1,1,478,1981,1503
623,0,0,39,0,-39
624,1,0,87,0,-87
625,1,0,48,0,-48
626,1,0,68,0,-68
627,0,0,9,0,-9
628,1,1,228,1410,1182
629,0,0,113,0,-113
630,1,1,585,1392,807
631,1,1,536,2763,2227
632,0,0,83,0,-83
633,0,0,107,0,-107
634,1,1,306,1820,1514
635,0,0,31,0,-31
636,0,0,20,0,-20
637,1,0,38,0,-38
638,0,0,65,0,-65
639,1,0,32,0,-32
640,1,0,64,0,-64
641,0,0,12,0,-12
642,0,0,45,0,-45
643,1,0,0,0,0
644,0,0,16,0,-16
645,1,0,136,0,-136
646,1,0,40,0,-40
647,1,0,27,0,-27
648,0,0,76,0,-76
649,0,0,10,0,-10
650,1,0,74,0,-74
651,0,0,139,0,-139
652,0,0,38,0,-38
653,1,1,591,1430,839
654,1,1,523,1420,897
655,1,1,363,1267,904
656,1,1,2222,1815,-407
657,0,0,44,0,-44
658,0,0,8,0,-8
659,1,1,52,1843,1791
660,1,1,963,1279,316
661,1,1,1307,2118,811
662,1,0,51,0,-51
663,1,1,1110,1326,216
664,0,0,76,0,-76
665,1,0,101,0,-101
666,0,0,56,0,-56
667,1,0,2,0,-2
668,1,1,980,1367,387
669,1,0,56,0,-56
670,0,0,157,0,-157
671,0,0,17,0,-17
672,1,1,593,1408,815
673,0,0,129,0,-129
674,1,0,7,0,-7
675,1,0,74,0,-74
676,0,0,128,0,-128
677,1,0,4,0,-4
678,0,0,3,0,-3
679,0,0,16,0,-16
680,0,0,14,0,-14
681,0,0,43,0,-43
682,1,0,32,0,-32
683,1,0,107,0,-107
684,1,1,920,1299,379
685,1,1,129,1518,1389
686,1,1,58,1412,1354
687,0,0,54,0,-54
688,1,1,424,1277,853
689,0,0,2,0,-2
690,0,0,21,0,-21
691,1,1,150,1242,1092
692,0,0,1,0,-1
693,0,0,45,0,-45
694,0,0,154,0,-154
695,1,0,46,0,-46
696,1,1,1922,1405,-517
697,1,1,374,1578,1204
698,1,0,204,0,-204
699,1,1,243,1520,1277
700,0,0,89,0,-89
701,1,1,244,1625,1381
702,0,0,10,0,-10
703,0,0,103,0,-103
704,0,0,15,0,-15
705,0,0,20,0,-20
706,0,0,33,0,-33
707,0,0,78,0,-78
708,1,0,65,0,-65
709,1,1,28,1918,1890
710,1,0,9,0,-9
711,0,0,70,0,-70
712,0,0,30,0,-30
713,0,0,34,0,-34
714,1,1,248,1282,1034
715,0,0,12,0,-12
716,0,0,125,0,-125
717,1,0,7,0,-7
718,1,1,1172,1363,191
719,1,1,381,4483,4102
720,0,0,108,0,-108
721,0,0,1,0,-1
722,1,1,751,1468,717
723,0,0,29,0,-29
724,1,1,255,1431,1176
725,0,0,85,0,-85
726,0,0,33,0,-33
727,0,0,119,0,-119
728,1,1,411,1246,835
729,0,0,2,0,-2
730,0,0,49,0,-49
731,0,0,63,0,-63
732,1,0,71,0,-71
733,0,0,36,0,-36
734,1,1,691,1370,679
735,1,0,7,0,-7
736,1,1,533,1554,1021
737,0,0,5,0,-5
738,1,0,106,0,-106
739,0,0,70,0,-70
740,1,1,15,1269,1254
741,0,0,139,0,-139
742,1,0,10,0,-10
743,1,1,190,1356,1166
744,1,1,1157,1307,150
745,1,1,152,1704,1552
746,1,0,63,0,-63
747,0,0,57,0,-57
748,0,0,32,0,-32
749,1,0,147,0,-147
750,1,1,1555,1379,-176
751,0,0,4,0,-4
752,0,0,28,0,-28
753,1,1,880,1649,769
754,1,0,16,0,-16
755,1,0,50,0,-50
756,1,1,225,1637,1412
757,1,0,121,0,-121
758,1,1,118,1466,1348
759,0,0,106,0,-106
760,0,0,75,0,-75
761,0,0,92,0,-92
762,0,0,143,0,-143
763,0,0,43,0,-43
764,1,0,62,0,-62
765,0,0,47,0,-47
766,0,0,65,0,-65
767,0,0,79,0,-79
768,0,0,106,0,-106
769,1,1,177,1380,1203
770,0,0,78,0,-78
771,0,0,4,0,-4
772,1,0,156,0,-156
773,1,1,1218,1599,381
774,1,0,88,0,-88
775,1,0,0,0,0
776,0,0,16,0,-16
777,1,0,39,0,-39
778,1,0,27,0,-27
779,1,1,411,1330,919
780,0,0,5,0,-5
781,0,0,221,0,-221
782,1,1,2017,1693,-324
783,1,0,70,0,-70
784,1,0,52,0,-52
785,1,1,513,1888,1375
786,0,0,46,0,-46
787,1,1,484,2347,1863
788,0,0,105,0,-105
789,1,0,8,0,-8
790,1,1,990,1235,245
791,1,0,81,0,-81
792,0,0,21,0,-21
793,1,1,1251,1240,-11
794,0,0,43,0,-43
795,1,1,55,1438,1383
796,0,0,14,0,-14
797,1,1,256,1307,1051
798,0,0,28,0,-28
799,1,1,1011,2062,1051
800,0,0,19,0,-19
801,1,1,422,1295,873
802,1,0,18,0,-18
803,1,1,217,1606,1389
804,0,0,67,0,-67
805,1,1,1260,1311,51
806,1,0,56,0,-56
807,1,1,82,1283,1201
808,1,1,675,1749,1074
809,1,0,16,0,-16
810,0,0,28,0,-28
811,1,1,1295,1294,-1
812,1,0,73,0,-73
813,1,0,29,0,-29
814,1,1,326,1461,1135
815,1,1,80,2839,2759
816,1,1,371,1696,1325
817,0,0,59,0,-59
818,1,1,290,1359,1069
819,0,0,38,0,-38
820,1,0,79,0,-79
821,1,0,12,0,-12
822,1,0,6,0,-6
823,1,1,350,1284,934
824,0,0,116,0,-116
825,0,0,101,0,-101
826,1,0,119,0,-119
827,1,1,580,1240,660
828,1,0,22,0,-22
829,0,0,33,0,-33
830,1,1,223,1548,1325
831,1,1,61,1348,1287
832,1,0,6,0,-6
833,0,0,135,0,-135
834,0,0,136,0,-136
835,1,1,318,1444,1126
836,1,1,980,1380,400
837,1,0,12,0,-12
838,1,1,569,1604,1035
839,1,1,756,1308,552
840,1,0,10,0,-10
841,0,0,6,0,-6
842,1,0,149,0,-149
843,1,1,429,1872,1443
844,0,0,27,0,-27
845,0,0,26,0,-26
846,1,1,1128,1291,163
847,1,1,2024,1592,-432
848,0,0,7,0,-7
849,1,0,187,0,-187
850,1,1,132,1346,1214
851,1,0,58,0,-58
852,0,0,36,0,-36
853,1,1,761,1303,542
854,1,1,71,1405,1334
855,1,1,2225,2138,-87
856,1,0,92,0,-92
857,0,0,73,0,-73
858,1,0,43,0,-43
859,0,0,26,0,-26
860,1,0,44,0,-44
861,0,0,0,0,0
862,1,1,151,2305,2154
863,1,0,47,0,-47
864,0,0,62,0,-62
865,1,1,2475,1470,-1005
866,0,0,60,0,-60
867,1,0,64,0,-64
868,1,0,9,0,-9
869,0,0,26,0,-26
870,1,0,1,0,-1
871,1,0,88,0,-88
872,1,1,247,1262,1015
873,0,0,29,0,-29
874,0,0,49,0,-49
875,1,1,429,1247,818
876,0,0,31,0,-31
877,1,1,1128,1452,324
878,1,1,571,2387,1816
879,1,1,310,1515,1205
880,0,0,1,0,-1
881,0,0,7,0,-7
882,0,0,31,0,-31
883,1,0,139,0,-139
884,0,0,51,0,-51
885,1,0,6,0,-6
886,1,0,110,0,-110
887,1,0,9,0,-9
888,0,0,33,0,-33
889,1,0,192,0,-192
890,0,0,8,0,-8
891,1,0,125,0,-125
892,0,0,116,0,-116
893,1,1,105,1843,1738
894,0,0,38,0,-38
895,1,1,299,1371,1072
896,0,0,220,0,-220
897,1,1,705,1570,865
898,1,0,47,0,-47
899,1,1,92,2568,2476
900,1,0,8,0,-8
901,0,0,137,0,-137
902,0,0,59,0,-59
903,0,0,8,0,-8
904,1,0,114,0,-114
905,0,0,149,0,-149
906,1,0,38,0,-38
907,1,0,9,0,-9
908,0,0,23,0,-23
909,1,0,5,0,-5
910,0,0,38,0,-38
911,0,0,22,0,-22
912,1,0,114,0,-114
913,1,1,489,3224,2735
914,1,1,2182,1387,-795
915,1,1,277,1394,1117
916,0,0,33,0,-33
917,1,0,12,0,-12
918,0,0,29,0,-29
919,1,1,1434,1840,406
920,1,0,43,0,-43
921,1,0,45,0,-45
922,1,1,22,1519,1497
923,1,0,3,0,-3
924,0,0,30,0,-30
925,0,0,50,0,-50
926,0,0,25,0,-25
927,1,1,1049,1858,809
928,1,1,263,1307,1044
929,0,0,38,0,-38
930,1,0,49,0,-49
931,0,0,162,0,-162
932,1,0,34,0,-34
933,1,1,1464,1525,61
934,0,0,24,0,-24
935,0,0,107,0,-107
936,1,0,105,0,-105
937,1,1,679,1943,1264
938,0,0,15,0,-15
939,1,0,2,0,-2
940,0,0,171,0,-171
941,1,0,1,0,-1
942,0,0,56,0,-56
943,0,0,159,0,-159
944,0,0,6,0,-6
945,1,0,24,0,-24
946,0,0,112,0,-112
947,1,1,68,1320,1252
948,0,0,4,0,-4
949,1,0,2,0,-2
950,1,0,13,0,-13
951,1,0,31,0,-31
952,0,0,55,0,-55
953,0,0,13,0,-13
954,1,1,237,2188,1951
955,1,1,65,2287,2222
956,0,0,36,0,-36
957,1,0,29,0,-29
958,0,0,16,0,-16
959,1,1,303,1948,1645
960,0,0,48,0,-48
961,0,0,36,0,-36
962,0,0,33,0,-33
963,1,1,827,2131,1304
964,0,0,4,0,-4
965,1,1,321,1367,1046
966,1,0,43,0,-43
967,1,0,119,0,-119
968,1,0,256,0,-256
969,0,0,4,0,-4
970,0,0,14,0,-14
971,0,0,196,0,-196
972,1,1,874,1328,454
973,0,0,13,0,-13
974,1,0,46,0,-46
975,0,0,11,0,-11
976,1,0,10,0,-10
977,1,1,454,1244,790
978,0,0,39,0,-39
979,1,1,221,1335,1114
980,0,0,158,0,-158
981,1,1,523,1366,843
982,1,0,36,0,-36
983,1,0,23,0,-23
984,1,0,111,0,-111
985,1,0,57,0,-57
986,1,1,467,2506,2039
987,1,1,1069,1307,238
988,0,0,14,0,-14
989,1,1,153,1282,1129
990,0,0,8,0,-8
991,1,1,1235,1313,78
992,0,0,144,0,-144
993,0,0,47,0,-47
994,1,0,37,0,-37
995,0,0,70,0,-70
996,1,0,126,0,-126
997,0,0,29,0,-29
998,0,0,71,0,-71
999,1,1,463,1521,1058
1000,1,0,11,0,-11
1001,1,0,30,0,-30
1002,1,1,147,1286,1139
1003,1,1,834,1390,556
1004,1,1,131,1403,1272
1005,0,0,3,0,-3
1006,1,1,111,1498,1387
1007,0,0,26,0,-26
1008,1,1,47,1575,1528
1009,1,0,31,0,-31
1010,0,0,23,0,-23
1011,1,1,191,1254,1063
1012,1,0,13,0,-13
1013,1,0,18,0,-18
1014,1,1,93,1416,1323
1015,0,0,90,0,-90
1016,0,0,4,0,-4
1017,0,0,2,0,-2
1018,1,0,7,0,-7
1019,1,1,76,1270,1194
1020,0,0,55,0,-55
1021,0,0,1,0,-1
1022,0,0,25,0,-25
1023,0,0,1,0,-1
1024,1,1,160,1477,1317
1025,0,0,16,0,-16
1026,1,0,93,0,-93
1027,0,0,1,0,-1
1028,0,0,41,0,-41
1029,1,0,21,0,-21
1030,0,0,0,0,0
1031,0,0,79,0,-79
1032,0,0,7,0,-7
1033,0,0,127,0,-127
1034,0,0,25,0,-25
1035,1,0,48,0,-48
1036,0,0,46,0,-46
1037,1,1,171,1564,1393
1038,1,1,181,1729,1548
1039,1,1,60,1281,1221
1040,0,0,82,0,-82
1041,0,0,122,0,-122
1042,1,0,4,0,-4
1043,0,0,11,0,-11
1044,1,1,502,1284,782
1045,1,1,112,1298,1186
1046,1,1,216,1531,1315
