ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
371,1,1,1190,1226,36
372,0,0,30,0,-30
373,1,1,687,1227,540
374,0,0,15,0,-15
375,1,0,3,0,-3
376,1,0,4,0,-4
377,0,0,116,0,-116
378,1,0,15,0,-15
379,1,1,87,2066,1979
380,0,0,28,0,-28
381,1,0,25,0,-25
382,0,0,154,0,-154
383,1,0,65,0,-65
384,1,1,1096,1399,303
385,1,0,50,0,-50
386,1,1,1444,1396,-48
387,1,0,15,0,-15
388,1,0,56,0,-56
389,1,1,491,1289,798
390,1,1,142,1370,1228
391,0,0,8,0,-8
392,0,0,7,0,-7
393,0,0,9,0,-9
394,1,0,0,0,0
395,0,0,162,0,-162
396,0,0,24,0,-24
397,0,0,45,0,-45
398,1,0,5,0,-5
399,1,1,435,1363,928
400,1,0,23,0,-23
401,0,0,5,0,-5
402,1,0,1,0,-1
403,0,0,19,0,-19
404,1,0,14,0,-14
405,0,0,29,0,-29
406,1,0,38,0,-38
407,0,0,32,0,-32
408,0,0,19,0,-19
409,1,1,582,1899,1317
410,0,0,0,0,0
411,1,0,2,0,-2
412,0,0,1,0,-1
413,1,1,114,1242,1128
414,1,1,14,1313,1299
415,1,1,781,1426,645
416,1,0,15,0,-15
417,0,0,10,0,-10
418,1,1,402,1280,878
419,1,0,218,0,-218
420,0,0,60,0,-60
421,0,0,1,0,-1
422,1,0,15,0,-15
423,1,0,56,0,-56
424,1,1,1433,1271,-162
425,0,0,65,0,-65
426,0,0,10,0,-10
427,1,1,290,1362,1072
428,0,0,70,0,-70
429,0,0,55,0,-55
430,0,0,6,0,-6
431,0,0,13,0,-13
432,0,0,108,0,-108
433,1,0,13,0,-13
434,1,1,76,1211,1135
435,1,0,174,0,-174
436,0,0,28,0,-28
437,0,0,25,0,-25
438,0,0,75,0,-75
439,0,0,49,0,-49
440,1,0,80,0,-80
441,1,0,3,0,-3
442,1,1,461,1394,933
443,1,0,113,0,-113
444,0,0,20,0,-20
445,0,0,43,0,-43
446,1,1,457,1253,796
447,1,0,141,0,-141
448,0,0,17,0,-17
449,1,0,165,0,-165
450,1,0,34,0,-34
451,1,1,613,1406,793
452,0,0,19,0,-19
453,0,0,49,0,-49
454,1,0,71,0,-71
455,1,1,110,1200,1090
456,1,0,14,0,-14
457,1,1,158,1220,1062
458,0,0,100,0,-100
459,1,0,9,0,-9
460,0,0,14,0,-14
461,1,0,18,0,-18
462,0,0,19,0,-19
463,1,1,109,1278,1169
464,1,0,22,0,-22
465,1,1,832,1652,820
466,0,0,42,0,-42
467,1,1,601,1317,716
468,0,0,137,0,-137
469,1,1,341,1225,884
470,0,0,57,0,-57
471,0,0,7,0,-7
472,1,0,16,0,-16
473,0,0,36,0,-36
474,0,0,35,0,-35
475,0,0,115,0,-115
476,0,0,179,0,-179
477,1,0,63,0,-63
478,0,0,7,0,-7
479,1,1,222,2098,1876
480,1,1,97,1497,1400
481,1,1,143,1551,1408
482,1,1,70,1386,1316
483,0,0,14,0,-14
484,1,0,7,0,-7
485,0,0,15,0,-15
486,0,0,68,0,-68
487,1,0,62,0,-62
488,1,1,218,1359,1141
489,0,0,24,0,-24
490,1,0,30,0,-30
491,1,1,738,1604,866
492,1,0,38,0,-38
493,1,1,112,1584,1472
494,1,1,978,1617,639
495,0,0,125,0,-125
496,0,0,152,0,-152
497,1,1,87,1262,1175
498,0,0,72,0,-72
499,1,1,210,1426,1216
500,0,0,147,0,-147
501,0,0,73,0,-73
502,1,0,61,0,-61
503,1,1,598,1776,1178
504,1,1,1413,1232,-181
505,0,0,37,0,-37
506,1,0,7,0,-7
507,1,0,8,0,-8
508,1,1,919,1303,384
509,1,0,34,0,-34
510,1,0,1,0,-1
511,0,0,232,0,-232
512,0,0,67,0,-67
513,1,0,18,0,-18
514,1,0,40,0,-40
515,0,0,121,0,-121
516,0,0,39,0,-39
517,0,0,78,0,-78
518,0,0,6,0,-6
519,0,0,34,0,-34
520,1,1,237,2084,1847
521,1,1,63,1701,1638
522,1,0,35,0,-35
523,1,1,271,1441,1170
524,0,0,26,0,-26
525,0,0,34,0,-34
526,0,0,90,0,-90
527,1,1,2066,1256,-810
528,0,0,22,0,-22
529,1,0,61,0,-61
530,1,0,27,0,-27
531,0,0,6,0,-6
532,0,0,17,0,-17
533,1,1,1416,1723,307
534,1,0,81,0,-81
535,1,1,153,1251,1098
536,0,0,17,0,-17
537,1,0,37,0,-37
538,0,0,19,0,-19
539,0,0,23,0,-23
540,0,0,35,0,-35
541,1,0,42,0,-42
542,1,0,23,0,-23
543,1,1,10,1614,1604
544,1,1,268,1380,1112
545,0,0,1,0,-1
546,1,0,34,0,-34
547,1,1,229,1486,1257
548,1,1,554,2410,1856
549,1,0,8,0,-8
550,0,0,5,0,-5
551,0,0,107,0,-107
552,1,0,61,0,-61
553,0,0,9,0,-9
554,0,0,68,0,-68
555,0,0,17,0,-17
556,1,0,1,0,-1
557,1,1,302,1471,1169
558,0,0,44,0,-44
559,0,0,41,0,-41
560,0,0,75,0,-75
561,1,0,72,0,-72
562,0,0,16,0,-16
563,0,0,35,0,-35
564,1,1,288,1811,1523
565,1,0,23,0,-23
566,1,1,511,1242,731
567,0,0,17,0,-17
568,1,0,10,0,-10
569,1,1,297,1346,1049
570,1,1,849,1242,393
571,0,0,57,0,-57
572,0,0,111,0,-111
573,1,0,66,0,-66
574,1,0,7,0,-7
575,0,0,142,0,-142
576,1,0,32,0,-32
577,0,0,23,0,-23
578,0,0,203,0,-203
579,0,0,217,0,-217
580,1,0,30,0,-30
581,1,0,49,0,-49
582,0,0,21,0,-21
583,1,0,161,0,-161
584,1,1,669,1230,561
585,0,0,1,0,-1
586,1,1,158,1230,1072
587,1,0,79,0,-79
588,1,0,106,0,-106
589,1,1,579,1778,1199
590,0,0,112,0,-112
591,1,0,48,0,-48
592,0,0,23,0,-23
593,1,0,7,0,-7
594,1,1,231,1210,979
595,0,0,33,0,-33
596,1,0,67,0,-67
597,1,1,937,1521,584
598,1,1,20,1211,1191
599,0,0,59,0,-59
600,0,0,7,0,-7
601,1,1,512,1204,692
602,0,0,17,0,-17
603,1,1,212,1373,1161
604,1,0,66,0,-66
605,1,0,4,0,-4
606,1,1,55,1418,1363
607,0,0,53,0,-53
608,0,0,29,0,-29
609,1,1,428,1227,799
610,0,0,69,0,-69
611,0,0,6,0,-6
612,0,0,19,0,-19
613,0,0,79,0,-79
614,0,0,12,0,-12
615,1,0,30,0,-30
616,0,0,43,0,-43
617,1,0,60,0,-60
618,0,0,3,0,-3
619,1,1,189,1201,1012
620,1,0,81,0,-81
621,1,0,35,0,-35
622,1,0,15,0,-15
623,0,0,19,0,-19
624,1,1,329,1290,961
625,0,0,6,0,-6
626,0,0,25,0,-25
627,0,0,22,0,-22
628,0,0,107,0,-107
629,1,1,593,1455,862
630,1,1,83,1571,1488
631,0,0,22,0,-22
632,1,0,21,0,-21
633,0,0,40,0,-40
634,0,0,67,0,-67
635,0,0,29,0,-29
636,1,1,118,1423,1305
637,0,0,64,0,-64
638,0,0,100,0,-100
639,0,0,117,0,-117
640,0,0,80,0,-80
641,0,0,132,0,-132
642,1,1,656,1217,561
643,1,1,840,2079,1239
644,1,0,12,0,-12
645,0,0,36,0,-36
646,1,0,17,0,-17
647,1,0,7,0,-7
648,0,0,37,0,-37
649,1,0,3,0,-3
650,1,1,347,1416,1069
651,0,0,1,0,-1
652,0,0,55,0,-55
653,1,1,257,1396,1139
654,1,1,553,2340,1787
655,1,0,131,0,-131
656,1,1,974,1452,478
657,0,0,1,0,-1
658,0,0,73,0,-73
659,0,0,67,0,-67
660,1,0,47,0,-47
661,0,0,8,0,-8
662,1,1,258,1399,1141
663,1,0,55,0,-55
664,1,1,1261,1506,245
665,1,0,35,0,-35
666,1,0,37,0,-37
667,1,1,1336,1383,47
668,0,0,26,0,-26
669,1,1,1049,1304,255
670,1,1,605,1349,744
671,0,0,13,0,-13
672,0,0,90,0,-90
673,1,1,924,1247,323
674,0,0,30,0,-30
675,1,0,5,0,-5
676,0,0,44,0,-44
677,1,1,1080,2048,968
678,0,0,0,0,0
679,1,0,7,0,-7
680,0,0,206,0,-206
681,1,0,37,0,-37
682,0,0,13,0,-13
683,1,0,1,0,-1
684,1,0,27,0,-27
685,1,0,21,0,-21
686,1,0,1,0,-1
687,1,1,245,1742,1497
688,1,0,37,0,-37
689,1,1,522,1232,710
690,1,1,839,1329,490
691,1,1,712,1205,493
692,0,0,55,0,-55
693,1,1,465,2173,1708
694,0,0,46,0,-46
695,0,0,8,0,-8
696,0,0,50,0,-50
697,1,0,157,0,-157
698,0,0,10,0,-10
699,0,0,89,0,-89
700,1,1,333,1264,931
701,1,0,22,0,-22
702,0,0,1,0,-1
703,1,0,15,0,-15
704,0,0,131,0,-131
705,0,0,12,0,-12
706,1,0,2,0,-2
707,0,0,1,0,-1
708,1,1,595,1745,1150
709,1,0,53,0,-53
710,0,0,98,0,-98
711,0,0,46,0,-46
712,0,0,205,0,-205
713,1,0,5,0,-5
714,1,1,909,1227,318
715,1,0,63,0,-63
716,1,0,36,0,-36
717,1,1,2446,1969,-477
718,1,1,24,1292,1268
719,1,0,22,0,-22
720,1,0,122,0,-122
721,0,0,193,0,-193
722,1,0,150,0,-150
723,1,1,175,2293,2118
724,0,0,4,0,-4
725,0,0,59,0,-59
726,1,1,321,2369,2048
727,1,1,341,1267,926
728,1,1,316,1402,1086
729,1,1,112,1245,1133
730,1,1,64,1230,1166
731,1,0,31,0,-31
732,0,0,18,0,-18
733,0,0,50,0,-50
734,0,0,3,0,-3
735,0,0,75,0,-75
736,1,1,128,1598,1470
737,0,0,7,0,-7
738,0,0,33,0,-33
739,0,0,64,0,-64
740,1,1,355,1242,887
741,1,0,7,0,-7
742,0,0,47,0,-47
743,0,0,15,0,-15
744,1,0,33,0,-33
745,1,0,82,0,-82
746,1,1,737,1351,614
747,0,0,42,0,-42
748,1,0,14,0,-14
749,0,0,0,0,0
750,0,0,15,0,-15
751,1,0,80,0,-80
752,1,1,1064,1373,309
753,0,0,125,0,-125
754,0,0,39,0,-39
755,0,0,27,0,-27
756,1,0,51,0,-51
757,0,0,13,0,-13
758,0,0,37,0,-37
759,1,0,208,0,-208
760,1,0,13,0,-13
761,1,1,855,1580,725
762,0,0,79,0,-79
763,0,0,210,0,-210
764,1,0,7,0,-7
765,1,1,168,2549,2381
766,1,0,151,0,-151
767,1,1,378,1754,1376
768,1,0,76,0,-76
769,0,0,90,0,-90
770,0,0,2,0,-2
771,0,0,77,0,-77
772,0,0,172,0,-172
773,1,1,788,1593,805
774,1,0,56,0,-56
775,0,0,3,0,-3
776,1,0,1,0,-1
777,0,0,13,0,-13
778,0,0,28,0,-28
779,1,0,1,0,-1
780,0,0,78,0,-78
781,1,1,226,1298,1072
782,1,1,553,1796,1243
783,1,0,57,0,-57
784,1,0,43,0,-43
785,1,0,30,0,-30
786,1,1,43,1905,1862
787,1,0,43,0,-43
788,0,0,44,0,-44
789,1,0,13,0,-13
790,0,0,61,0,-61
791,1,1,1508,1384,-124
792,1,1,907,2456,1549
793,0,0,39,0,-39
794,0,0,14,0,-14
795,1,1,189,3144,2955
796,0,0,23,0,-23
797,1,1,1063,1540,477
798,1,0,50,0,-50
799,1,0,3,0,-3
800,1,0,23,0,-23
801,0,0,10,0,-10
802,1,0,1,0,-1
803,1,0,65,0,-65
804,0,0,104,0,-104
805,1,1,634,1496,862
806,1,0,50,0,-50
807,0,0,42,0,-42
808,0,0,148,0,-148
809,1,0,7,0,-7
810,1,0,32,0,-32
811,0,0,11,0,-11
812,0,0,17,0,-17
813,1,0,11,0,-11
814,1,1,778,1245,467
815,0,0,10,0,-10
816,0,0,4,0,-4
817,1,0,152,0,-152
818,1,1,55,1452,1397
819,0,0,99,0,-99
820,1,1,82,1370,1288
821,0,0,71,0,-71
822,0,0,172,0,-172
823,1,0,21,0,-21
824,1,0,41,0,-41
825,1,1,837,1662,825
826,1,1,305,1330,1025
827,1,0,32,0,-32
828,0,0,74,0,-74
829,1,0,55,0,-55
830,0,0,9,0,-9
831,1,1,550,1575,1025
832,1,0,8,0,-8
833,0,0,72,0,-72
834,1,1,87,1291,1204
835,0,0,37,0,-37
836,0,0,47,0,-47
837,0,0,3,0,-3
838,1,1,1489,1201,-288
839,1,1,1026,1393,367
840,0,0,13,0,-13
841,1,1,415,1205,790
842,1,0,23,0,-23
843,1,1,139,1443,1304
844,0,0,43,0,-43
845,0,0,22,0,-22
846,0,0,39,0,-39
847,1,0,44,0,-44
848,1,0,24,0,-24
849,0,0,153,0,-153
850,1,0,61,0,-61
851,1,0,47,0,-47
852,1,0,48,0,-48
853,1,1,925,1771,846
854,0,0,29,0,-29
855,1,1,559,1580,1021
856,0,0,93,0,-93
857,1,0,58,0,-58
858,1,0,24,0,-24
859,1,0,56,0,-56
860,1,0,6,0,-6
861,1,1,389,1579,1190
862,0,0,1,0,-1
863,1,1,52,1770,1718
864,1,1,693,1341,648
865,1,1,175,1718,1543
866,1,0,20,0,-20
867,1,0,95,0,-95
868,1,1,357,1258,901
869,1,1,92,1339,1247
870,0,0,18,0,-18
871,1,1,131,1978,1847
872,0,0,395,0,-395
873,0,0,182,0,-182
874,1,1,349,2186,1837
875,1,1,180,1611,1431
876,1,0,179,0,-179
877,1,1,168,1246,1078
878,1,0,9,0,-9
879,1,1,275,1277,1002
880,0,0,19,0,-19
881,0,0,5,0,-5
882,1,0,13,0,-13
883,1,0,53,0,-53
884,0,0,90,0,-90
885,1,0,32,0,-32
886,1,0,143,0,-143
887,1,1,184,1822,1638
888,1,0,59,0,-59
889,1,1,189,1456,1267
890,1,1,377,1692,1315
891,1,1,343,1419,1076
892,1,0,148,0,-148
893,0,0,66,0,-66
894,0,0,78,0,-78
895,0,0,31,0,-31
896,0,0,15,0,-15
897,1,1,901,2014,1113
898,1,0,9,0,-9
899,1,0,5,0,-5
900,1,0,40,0,-40
901,1,0,95,0,-95
902,1,1,63,1288,1225
903,1,1,564,2181,1617
904,1,1,124,1420,1296
905,1,1,937,1972,1035
906,0,0,113,0,-113
907,0,0,48,0,-48
908,0,0,112,0,-112
909,0,0,80,0,-80
910,1,1,733,1818,1085
911,0,0,140,0,-140
912,0,0,89,0,-89
913,1,1,741,2579,1838
914,0,0,2,0,-2
915,1,1,1205,1390,185
916,0,0,49,0,-49
917,1,0,96,0,-96
918,0,0,76,0,-76
919,0,0,17,0,-17
920,1,1,91,1336,1245
921,1,0,12,0,-12
922,0,0,10,0,-10
923,1,0,40,0,-40
924,1,0,100,0,-100
925,0,0,22,0,-22
926,0,0,121,0,-121
927,0,0,45,0,-45
928,1,1,215,1201,986
929,0,0,2,0,-2
930,0,0,7,0,-7
931,1,0,77,0,-77
932,1,1,570,2917,2347
933,0,0,16,0,-16
934,1,1,1374,1287,-87
935,0,0,22,0,-22
936,1,1,544,1291,747
937,0,0,2,0,-2
938,1,1,266,1657,1391
939,1,0,8,0,-8
940,0,0,1,0,-1
941,1,1,218,1383,1165
942,1,0,48,0,-48
943,1,1,314,1917,1603
944,0,0,5,0,-5
945,1,0,17,0,-17
946,1,0,6,0,-6
947,1,1,70,1227,1157
948,1,0,20,0,-20
949,1,1,87,1320,1233
950,1,0,6,0,-6
951,1,0,18,0,-18
952,0,0,8,0,-8
953,0,0,15,0,-15
954,1,0,47,0,-47
955,0,0,31,0,-31
956,1,0,2,0,-2
957,1,0,36,0,-36
958,0,0,5,0,-5
959,0,0,35,0,-35
960,0,0,76,0,-76
961,1,0,37,0,-37
962,1,0,15,0,-15
963,0,0,51,0,-51
964,1,0,19,0,-19
965,0,0,36,0,-36
966,1,1,99,1480,1381
967,1,0,14,0,-14
968,0,0,7,0,-7
969,0,0,67,0,-67
970,1,1,290,2052,1762
971,0,0,122,0,-122
972,1,1,792,1956,1164
973,0,0,1,0,-1
974,0,0,25,0,-25
975,1,1,804,1253,449
976,1,1,349,1623,1274
977,0,0,79,0,-79
978,1,0,16,0,-16
979,1,1,1111,1464,353
980,1,0,161,0,-161
981,1,0,37,0,-37
982,0,0,150,0,-150
983,1,1,105,1219,1114
984,1,1,546,1533,987
985,0,0,22,0,-22
986,0,0,238,0,-238
987,1,0,37,0,-37
988,1,1,508,1390,882
989,1,1,189,2130,1941
990,0,0,66,0,-66
991,0,0,151,0,-151
992,0,0,16,0,-16
993,0,0,23,0,-23
994,1,0,206,0,-206
995,0,0,19,0,-19
996,1,1,233,1229,996
997,1,0,326,0,-326
998,0,0,80,0,-80
999,1,0,91,0,-91
1000,1,1,231,1253,1022
1001,0,0,248,0,-248
1002,0,0,41,0,-41
1003,1,1,121,1657,1536
1004,1,1,736,1676,940
1005,1,0,57,0,-57
1006,1,1,1598,1452,-146
1007,1,0,7,0,-7
1008,0,0,50,0,-50
1009,0,0,27,0,-27
1010,0,0,107,0,-107
1011,1,0,3,0,-3
1012,1,0,17,0,-17
1013,1,1,2157,4075,1918
1014,1,0,11,0,-11
1015,0,0,2,0,-2
1016,0,0,279,0,-279
1017,1,0,51,0,-51
1018,1,1,644,1354,710
1019,1,0,10,0,-10
1020,0,0,27,0,-27
1021,1,0,63,0,-63
1022,0,0,98,0,-98
1023,1,0,7,0,-7
1024,1,1,144,1578,1434
1025,0,0,55,0,-55
1026,1,0,142,0,-142
1027,1,0,12,0,-12
1028,0,0,103,0,-103
1029,1,1,1853,1351,-502
1030,0,0,77,0,-77
1031,0,0,139,0,-139
1032,0,0,71,0,-71
1033,0,0,11,0,-11
1034,0,0,36,0,-36
1035,1,1,80,1800,1720
1036,0,0,9,0,-9
1037,0,0,72,0,-72
1038,1,0,31,0,-31
1039,1,0,4,0,-4
1040,0,0,51,0,-51
1041,0,0,90,0,-90
1042,0,0,1,0,-1
1043,0,0,17,0,-17
1044,1,0,2,0,-2
1045,1,0,111,0,-111
1046,0,0,107,0,-107
1047,0,0,29,0,-29
1048,0,0,1,0,-1
1049,1,1,601,1306,705
1050,1,1,359,1360,1001
